league,season,team,player,nation,pos,age,born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG-Premier League,1920,Liverpool,Fabinho,BRA,MF,25,1993,23.1,2,12,4,33.3,0.52,0.17,0.17,0.5,28.7,2,0,0,0.4,0.4,0.04,1.6,1.6
ENG-Premier League,1920,Liverpool,Georginio Wijnaldum,NED,MF,28,1990,32.6,4,36,15,41.7,1.1,0.46,0.11,0.27,16.2,0,0,0,2.6,2.6,0.07,1.4,1.4
ENG-Premier League,1920,Liverpool,Harvey Elliott,ENG,DF,16,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Liverpool,James Milner,ENG,"MF,DF",33,1986,10.4,2,10,2,20.0,0.96,0.19,0.0,0.0,24.5,0,2,2,2.2,0.6,0.06,-0.2,-0.6
ENG-Premier League,1920,Liverpool,Joe Gomez,ENG,DF,22,1997,22.3,0,1,0,0.0,0.04,0.0,0.0,,30.4,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,1920,Liverpool,Jordan Henderson,ENG,MF,29,1990,24.9,4,20,8,40.0,0.8,0.32,0.2,0.5,19.2,1,0,0,1.1,1.1,0.05,2.9,2.9
ENG-Premier League,1920,Liverpool,Joël Matip,CMR,DF,27,1991,7.8,1,4,1,25.0,0.51,0.13,0.25,1.0,10.2,0,0,0,0.3,0.3,0.09,0.7,0.7
ENG-Premier League,1920,Liverpool,Mohamed Salah,EGY,FW,27,1992,32.0,19,129,56,43.4,4.04,1.75,0.12,0.29,15.0,4,3,3,19.0,16.6,0.13,0.0,-0.6
ENG-Premier League,1920,Liverpool,Naby Keïta,GUI,MF,24,1995,9.1,2,12,7,58.3,1.33,0.77,0.17,0.29,19.3,0,0,0,1.6,1.6,0.14,0.4,0.4
ENG-Premier League,1920,Liverpool,Neco Williams,WAL,DF,18,2001,2.6,0,7,1,14.3,2.74,0.39,0.0,0.0,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,1920,Liverpool,Roberto Firmino,BRA,FW,27,1991,33.2,9,99,38,38.4,2.98,1.14,0.09,0.24,13.7,0,0,0,14.0,14.0,0.14,-5.0,-5.0
ENG-Premier League,1920,Liverpool,Sadio Mané,SEN,FW,27,1992,30.5,18,77,36,46.8,2.52,1.18,0.23,0.5,13.5,0,0,0,13.2,13.2,0.18,4.8,4.8
ENG-Premier League,1920,Liverpool,Takumi Minamino,JPN,"FW,MF",24,1995,2.8,0,8,2,25.0,2.89,0.72,0.0,0.0,19.5,0,0,0,0.8,0.8,0.1,-0.8,-0.8
ENG-Premier League,1920,Liverpool,Trent Alexander-Arnold,ENG,DF,20,1998,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,22.6,13,0,0,2.8,2.8,0.06,1.2,1.2
ENG-Premier League,1920,Liverpool,Virgil van Dijk,NED,DF,28,1991,38.0,5,31,14,45.2,0.82,0.37,0.16,0.36,11.8,0,0,0,2.9,2.9,0.09,2.1,2.1
ENG-Premier League,1920,Liverpool,Xherdan Shaqiri,SUI,"FW,MF",27,1991,2.1,1,4,1,25.0,1.95,0.49,0.25,1.0,20.4,0,0,0,0.5,0.5,0.13,0.5,0.5
ENG-Premier League,1920,Manchester City,Angeliño,ESP,DF,22,1997,4.7,0,5,0,0.0,1.06,0.0,0.0,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,1920,Manchester City,Aymeric Laporte,ESP,DF,25,1994,12.2,1,4,2,50.0,0.33,0.16,0.25,0.5,16.3,0,0,0,0.5,0.5,0.13,0.5,0.5
ENG-Premier League,1920,Manchester City,Benjamin Mendy,FRA,DF,25,1994,16.6,0,10,1,10.0,0.6,0.06,0.0,0.0,22.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,1920,Manchester City,Bernardo Silva,POR,"FW,MF",24,1994,22.6,6,52,15,28.8,2.31,0.67,0.12,0.4,14.2,0,0,0,6.0,6.0,0.12,0.0,0.0
ENG-Premier League,1920,Manchester City,Claudio Bravo,CHI,GK,36,1983,3.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester City,David Silva,ESP,MF,33,1986,20.3,6,47,18,38.3,2.32,0.89,0.13,0.33,14.4,5,0,0,6.4,6.4,0.14,-0.4,-0.4
ENG-Premier League,1920,Manchester City,Ederson,BRA,GK,25,1993,34.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester City,Eric García,ESP,DF,18,2001,8.8,0,2,1,50.0,0.23,0.11,0.0,0.0,7.1,0,0,0,0.5,0.5,0.27,-0.5,-0.5
ENG-Premier League,1920,Manchester City,Fernandinho,BRA,DF,34,1985,26.6,0,17,2,11.8,0.64,0.08,0.0,0.0,14.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0
ENG-Premier League,1920,Manchester City,Gabriel Jesus,BRA,FW,22,1997,22.6,14,100,45,45.0,4.43,2.0,0.14,0.31,11.6,0,0,1,18.2,17.4,0.18,-4.2,-3.4
